feature_set,n_features,task,model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,train_time_s
DE+Hjorth+FAA,238,arousal,RandomForest,0.7663095238095239,0.030655603060324707,0.4337121012755804,0.009774508518746929,0.4683508213065749,0.06704909157298161,13.481963539123536
DE+Hjorth+FAA,238,arousal,XGBoost,0.757079365079365,0.02177441014153638,0.444888010641329,0.0258504888732608,0.4722564109754712,0.02322089414623321,7.745053672790528
DE+Hjorth+FAA,238,dominance,LogisticRegression,0.5371825396825397,0.05577559880919761,0.48951375032959304,0.05353006709501765,0.5186626767972375,0.0573744944637144,0.9975904941558837
DE+Hjorth+FAA,238,dominance,RandomForest,0.565452380952381,0.05984090538182138,0.4291929608440612,0.026127158438612505,0.4867206191794229,0.05829812904068169,13.474217128753661
DE+Hjorth+FAA,238,dominance,XGBoost,0.562,0.04571998283503483,0.46470469172687656,0.023731893644919608,0.4699079192024251,0.04892626633400604,8.2291916847229
DE+Hjorth+FAA,238,liking,LogisticRegression,0.5785396825396826,0.034062385797654714,0.48534416941939024,0.031014967479591628,0.4611914548411268,0.02141029030998473,0.9847858905792236
DE+Hjorth+FAA,238,liking,RandomForest,0.6443571428571427,0.017383067748348198,0.4518864092203481,0.050738250211275676,0.5207188058760128,0.05785544662056991,14.304753971099853
DE+Hjorth+FAA,238,liking,XGBoost,0.6327142857142857,0.026133213615387466,0.4587796909801586,0.04869054767774883,0.5024885125177774,0.024845630570333562,8.486487007141113
Full (DE+Hjorth+FAA+Conn),295,valence,LogisticRegression,0.5992460317460317,0.054577617219290046,0.45562228158562623,0.016874932953366832,0.43740634191883954,0.05118647200040585,1.107356023788452
Full (DE+Hjorth+FAA+Conn),295,valence,RandomForest,0.782920634920635,0.06267882329097157,0.4476177380417953,0.019055357273514435,0.47693869615264506,0.04926134997414685,17.977036952972412
Full (DE+Hjorth+FAA+Conn),295,valence,XGBoost,0.7661984126984127,0.062336750768280234,0.45301084583175655,0.025848468921169713,0.47126552027456203,0.05499242107073038,10.527874231338501
Full (DE+Hjorth+FAA+Conn),295,arousal,LogisticRegression,0.6382460317460318,0.047236729130912015,0.4845692975891847,0.03821634093950278,0.4542977022437916,0.10155693367414502,1.0347517490386964
Full (DE+Hjorth+FAA+Conn),295,arousal,RandomForest,0.7663253968253969,0.031216019570133778,0.4339950707233234,0.010409456502456286,0.47942572199391337,0.05769822739185175,16.149552249908446
Full (DE+Hjorth+FAA+Conn),295,arousal,XGBoost,0.7638015873015872,0.03021186839117309,0.4378543452662835,0.01156780986570146,0.48205511859585537,0.045246323961076064,11.985778522491454
Full (DE+Hjorth+FAA+Conn),295,dominance,LogisticRegression,0.5596666666666665,0.045433567174535984,0.5048108558783798,0.05665489079206282,0.5606461433271999,0.06054954866710539,1.104446029663086
Full (DE+Hjorth+FAA+Conn),295,dominance,RandomForest,0.5647063492063491,0.05729362825611861,0.42161003286793497,0.05181045565346634,0.46654368489576187,0.01565097541830176,15.51765489578247
Full (DE+Hjorth+FAA+Conn),295,dominance,XGBoost,0.5833888888888888,0.06917034682265691,0.477811014224363,0.04540632458873585,0.5134844349134632,0.03077331026627707,10.619662427902222
Full (DE+Hjorth+FAA+Conn),295,liking,LogisticRegression,0.562595238095238,0.041702324122746444,0.4754327724071109,0.026098573190780124,0.457642334377198,0.02333381513076129,1.1379098415374755
Full (DE+Hjorth+FAA+Conn),295,liking,RandomForest,0.6438412698412699,0.014015280911112135,0.45972556574688667,0.05947739248731959,0.5177936620478066,0.05387534446890921,16.494433689117432
Full (DE+Hjorth+FAA+Conn),295,liking,XGBoost,0.6278095238095238,0.03635539430589788,0.4474685013946801,0.0454519695591206,0.47772922302210485,0.04148825363399023,10.450527429580688
