task,subject,n_calib_windows,n_eval_windows,zeroshot_accuracy,zeroshot_f1,zeroshot_auc,calibrated_accuracy,calibrated_f1,calibrated_auc,calibration_skipped_single_class
arousal,3,120,480,0.8458333333333333,0.47130269111693257,0.4575793650793651,0.45416666666666666,0.4250603467193329,0.675,False
arousal,4,120,480,0.9041666666666667,0.474835886214442,0.3756832694763729,0.8083333333333333,0.4470046082949309,0.33915708812260537,False
arousal,5,120,480,0.8125,0.4482758620689655,0.4842450142450142,,,,True
arousal,6,120,480,0.9375,0.4838709677419355,0.728,0.7583333333333333,0.44761904761904764,0.4590370370370371,False
arousal,7,120,480,0.8145833333333333,0.4597807256035104,0.4894301994301994,0.7895833333333333,0.5084709675457006,0.5304558404558405,False
arousal,8,120,480,0.7166666666666667,0.4313588850174216,0.471604938271605,,,,True
arousal,9,120,480,0.7791666666666667,0.4379391100702576,0.5198222222222223,0.7270833333333333,0.45548541293222145,0.5634285714285714,False
arousal,10,120,480,0.7166666666666667,0.4174757281553398,0.389951690821256,0.725,0.5703125,0.6556307031669351,False
arousal,11,120,480,0.875,0.4666666666666667,0.572936507936508,0.74375,0.573998311578674,0.7215079365079365,False
arousal,12,120,480,0.6875,0.4074074074074074,0.46779797979797977,0.5520833333333334,0.5452121682186155,0.606949494949495,False
arousal,13,120,480,0.5645833333333333,0.3652199773473636,0.550405643738977,0.6083333333333333,0.5803259171069276,0.640705467372134,False
arousal,14,120,480,0.6125,0.5046164772727273,0.6233198380566802,0.6729166666666667,0.6050293764642373,0.639604138551507,False
arousal,15,120,480,0.80625,0.4463667820069204,0.4436752136752137,0.5333333333333333,0.4963934426229508,0.6178062678062677,False
arousal,16,120,480,0.6520833333333333,0.4626445449974862,0.5571313131313131,0.70625,0.4937125502135713,0.6062020202020202,False
arousal,17,120,480,0.78125,0.43859649122807015,0.5747047619047619,0.5666666666666667,0.5011093122264196,0.5694730158730159,False
arousal,18,120,480,0.78125,0.43859649122807015,0.47431111111111113,0.7520833333333333,0.5220523633807767,0.6608761904761905,False
arousal,19,120,480,0.75,0.4365976759654134,0.48837962962962966,0.70625,0.5029048629830115,0.4758796296296296,False
arousal,20,120,480,0.61875,0.38223938223938225,0.32151851851851854,0.525,0.41776084782192335,0.3867962962962963,False
arousal,21,120,480,0.625,0.38461538461538464,0.4690370370370371,0.6520833333333333,0.4706779627440752,0.5560185185185185,False
arousal,22,120,480,0.6854166666666667,0.40667490729295425,0.4806868686868687,0.6729166666666667,0.6158531923027909,0.660040404040404,False
arousal,24,120,480,0.5,0.3333333333333333,0.5137152777777778,0.46458333333333335,0.45746014293567894,0.4439236111111111,False
arousal,25,120,480,0.59375,0.37254901960784315,0.39985605038236616,0.6145833333333334,0.4456063680349618,0.5536122357174988,False
arousal,27,120,480,0.90625,0.47540983606557374,0.613690932311622,,,,True
arousal,28,120,480,0.9375,0.4838709677419355,0.4897407407407407,0.925,0.5890019979069546,0.5762222222222223,False
arousal,29,120,480,0.8104166666666667,0.4476409666283084,0.5948717948717949,0.7854166666666667,0.45831644224342893,0.5035612535612536,False
